name,tags,description,website,github,paper,hf_dataset_name,hf_contributor_handle,hf_model_name
BETO,"BERT / base (case, uncased) / propósito general",,,,https://users.dcc.uchile.cl/~jperez/papers/pml4dc2020.pdf,,dccuchile,bert-base-spanish-wwm-uncased
BERTIN-GPT-J-6B,GPT-J / LLM / propósito general,,,,,,bertin-project,bertin-gpt-j-6B
BERTIN RoBERTa,RoBERTa / base / propósito general,,https://huggingface.co/spaces/bertin-project/bertin,,,,bertin-project,bertin-roberta-base-spanish
BioMedtra,Electra / small / textos bioclínicos,,,,,,mrm8488,biomedtra-small-es
BLOOM,multilingüe / LLM / propósito general,,,,,,bigscience,bloom
BLOOMZ,multilingüe / LLM / propósito general / instrucciones / IT,,,,,,bigscience,bloomz
Electricidad,"Electra / small, base / propósito general",,,,,,mrm8488,electricidad-base-discriminator
GPT-2 BERTIN,GPT-2 / base / propósito general,,,,,,flax-community,gpt-2-spanish
GPT-2 BNE,"GPT-2 / base, large / propósito general",,,,,,PlanTL-GOB-ES,gpt2-base-bne
GPT-2 Datificate,GPT-2 / small / propósito general,,,,,,datificate,gpt2-small-spanish
GPT-2 DeepESP,GPT-2 / base / propósito general,,,,,,DeepESP,gpt2-spanish
GPT-2 mrm8488,GPT-2 / base / propósito general,,,,,,mrm8488,spanish-gpt2
Legalectra,"Electra / small, base / legal",,,,,,mrm8488,legalectra-base
LINCE-ZERO,"LLM / 7B, 40B / propósito general / instrucciones / IT",,https://huggingface.co/clibrain/lince-zero,,,,clibrain,lince-zero
mT0,multilingüe / LLM / propósito general / instrucciones / IT / encoder-decoder,,,,,,bigscience,mt0-base
RoBERTa Biomedical Clinical,RoBERTa / base / textos bioclínicos,,,https://github.com/PlanTL-GOB-ES/lm-biomedical-clinical-es,https://arxiv.org/abs/2109.03570,,PlanTL-GOB-ES,roberta-base-biomedical-clinical-es
RoBERTa BNE,"RoBERTa / base, large / propósito general",,,,,,PlanTL-GOB-ES,roberta-base-bne
RoBERTalex,RoBERTa / base / legal,,,,,,PlanTL-GOB-ES,RoBERTalex
RoBERTuito,"Roberta / cased, uncased, deaccented / redes sociales",,,https://github.com/pysentimiento/robertuito,https://arxiv.org/abs/2111.09453,,pysentimiento,robertuito
T5 Small,T5 / small / propósito general,,,,,,flax-community,spanish-t5-small
